leukoexpert,leukoregister,operation
year_of_genetic_testing,age_confirmed_molecular_diagnosis,round_year
affected_gene,???,???
zygosity,mol_dx_gene_zygosity,"map{1:1,4:1,2:2,3:3"
spec_genexam___1,mol_dx_test_details___4,"map{0:0,1:1"
spec_genexam___2,mol_dx_test_details___1,"map{0:0,1:1"
spec_genexam___3,mol_dx_test_details___5,"map{0:0,1:1"
spec_genexam___4,patient_id,default{0,????
spec_genexam___5,mol_dx_test_details___2	,"map{0:0,1:1"
spec_genexam___6,patient_id,default{0,???
spec_genexam___7,mol_dx_test_details___3,"map{0:0,1:1"
spec_genexam___8,mol_dx_test_details___98,"map{0:0,1:1"
spec_genexam___9,mol_dx_test_details___99,"map{0:0,1:1"
techniques_other,mol_dx_test_details_comments,copy
disease_relavant_mutation,mol_dx_gene,copy
disease_relavant_mutation_2,mol_dx_gene_2,copy
acmg_classification,mol_dx_gene_classification,"map{1:1,2:2,3:3,4:4,5:5,6:5,98:4,99:4",????
disease_relavant_mutation_3,mol_dx_gene_3,copy
disease_relavant_mutation_4,mol_dx_gene_4,copy
acmg_classification_2,mol_dx_gene_classification_2,"map{1:1,2:2,3:3,4:4,5:5,6:5,98:4,99:4"
segr,,,????
comment,mol_dx_general_comments,copy

